tdate	ttime	sensorVAC	sensorVBat	sensorIBat	sensorILoad	modemType	sensorModem0	sensorModem1	sensorModem2	sensorModem3	sensorBUC	sensorSCPC	sensorSCADA	sensorTemp	sendStatus
2015-12-03	17:40:03	260.61	50.18	-3.85	3.4	Hughes HX-50	6.6	13.59	19.61	24.16	50.16	50.18	11.98	28	1
2015-12-03	17:42:09	260.61	49.95	-3.85	3.4	Hughes HX-50	6.6	13.59	19.61	24.16	49.94	49.92	11.98	27	1
2015-12-03	17:44:04	254.23	55.55	9.17	3.11	Hughes HX-50	6.61	13.59	19.61	24.16	54.94	54.8	11.98	27	1
2015-12-03	17:46:04	254.76	57.42	7.84	2.96	Hughes HX-50	6.6	13.57	19.61	24.13	55	54.85	11.98	28	1
2015-12-03	17:48:03	254.76	57.42	5.77	3.03	Hughes HX-50	6.6	13.57	19.61	24.13	55	54.85	11.98	30	1
2015-12-03	17:50:03	253.7	57.42	5.55	3.03	Hughes HX-50	6.6	13.57	19.58	24.13	55	54.85	11.98	30	1
2015-12-03	17:52:04	252.63	57.42	5.55	3.03	Hughes HX-50	6.6	13.57	19.61	24.16	55	54.85	11.98	30	1
2015-12-03	17:54:03	260.61	50.88	-3.77	3.33	Hughes HX-50	6.6	13.59	19.61	24.16	50.86	50.88	11.98	30	1
2015-12-03	17:56:03	259.02	50.65	-3.77	3.33	Hughes HX-50	6.6	13.59	19.61	24.16	50.59	50.56	11.98	29	1
2015-12-03	17:58:04	259.55	50.42	-3.77	3.33	Hughes HX-50	6.6	13.59	19.61	24.16	50.37	50.4	11.98	28	1
2015-12-04	14:57:35	257.42	55.08	12.72	0.22	Hughes HX-50	6.6	13.56	19.58	24.1	54.89	54.74	11.95	23	1
2015-12-04	15:00:04	257.95	55.55	12.06	0.07	Hughes HX-50	6.61	13.57	19.58	24.13	54.94	54.8	11.97	24	1
2015-12-04	15:02:05	255.83	55.55	11.69	0.07	Hughes HX-50	6.61	13.57	19.58	24.13	54.94	54.8	11.97	25	1
2015-12-04	15:04:04	256.36	55.32	11.69	0.07	Hughes HX-50	6.61	13.57	19.58	24.13	54.94	54.8	11.97	27	1
2015-12-04	15:06:10	255.83	55.32	11.54	0.07	Hughes HX-50	6.61	13.56	19.58	24.13	54.89	54.8	11.97	30	1
2015-12-04	15:08:04	255.83	51.82	-0.44	0.07	Hughes HX-50	6.6	13.57	19.58	24.13	51.61	51.63	11.97	31	1
2015-12-04	15:11:31	257.42	51.12	-0.52	0.07	Hughes HX-50	6.6	13.57	19.58	24.13	51.18	51.1	11.97	30	1
2015-12-04	15:14:09	256.36	50.88	-0.52	0.07	Hughes HX-50	6.6	13.57	19.58	24.13	51.02	51.04	11.97	29	1
2015-12-04	15:16:03	255.83	50.88	-0.52	0.15	Hughes HX-50	6.6	13.57	19.58	24.13	50.91	50.99	11.97	29	1
2015-12-04	15:18:03	255.83	50.88	-0.52	0.15	Hughes HX-50	6.6	13.57	19.58	24.13	50.8	50.88	11.97	28	1
2015-12-04	15:20:03	256.36	50.88	-0.52	0.15	Hughes HX-50	6.6	13.57	19.58	24.13	50.8	50.83	11.97	28	1
2015-12-04	15:22:08	255.83	50.88	-0.52	0.15	Hughes HX-50	6.6	13.57	19.58	24.13	50.75	50.77	11.97	28	1
2015-12-04	15:24:03	261.14	50.88	-0.52	0.15	Hughes HX-50	6.61	13.57	19.58	24.13	50.7	50.72	11.97	27	1
2015-12-04	15:26:03	256.89	50.88	-0.52	0.15	Hughes HX-50	6.61	13.57	19.58	24.13	50.7	50.67	11.97	27	1
2015-12-04	15:28:03	256.36	50.88	-0.52	0.15	Hughes HX-50	6.6	13.57	19.58	24.13	50.64	50.67	11.95	27	1
2015-12-04	15:30:03	0	50.88	-0.52	0.15	Hughes HX-50	6.6	13.57	19.58	24.13	50.64	50.61	11.97	27	1
2015-12-04	15:32:03	0	50.65	-0.52	0.15	Hughes HX-50	6.61	13.57	19.58	24.13	50.59	50.61	11.97	26	1
2015-12-04	15:34:03	0	50.65	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.1	50.59	50.56	11.97	26	1
2015-12-04	15:36:03	0	50.65	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.13	50.53	50.56	11.95	26	1
2015-12-04	15:38:04	0	50.65	-0.52	0.15	Hughes HX-50	6.61	13.57	19.58	24.13	50.53	50.56	11.97	26	1
2015-12-04	15:40:05	0	50.65	-0.52	0.15	Hughes HX-50	6.6	13.57	19.58	24.13	50.48	50.51	11.95	26	1
2015-12-04	15:42:03	0	50.65	-0.52	0.15	Hughes HX-50	6.6	13.57	19.58	24.13	50.48	50.51	11.95	26	1
2015-12-04	15:44:04	259.02	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.1	50.43	50.51	11.95	26	1
2015-12-04	15:46:04	256.36	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.1	50.43	50.45	11.95	26	1
2015-12-04	15:48:05	256.89	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.1	50.43	50.45	11.95	25	1
2015-12-04	15:50:04	256.36	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.1	50.43	50.45	11.95	26	1
2015-12-04	15:52:04	255.83	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.1	50.37	50.4	11.95	26	1
2015-12-04	15:54:04	255.83	50.42	-0.52	0.15	Hughes HX-50	6.61	13.56	19.58	24.1	50.37	50.4	11.97	26	1
2015-12-04	15:56:04	255.83	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.1	50.37	50.4	11.95	25	1
2015-12-04	15:58:04	256.36	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.13	50.37	50.4	11.95	25	1
2015-12-04	16:00:03	256.36	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.1	50.32	50.4	11.95	25	1
2015-12-04	16:02:04	255.83	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.1	50.32	50.35	11.95	25	1
2015-12-04	16:04:09	256.36	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.1	50.32	50.35	11.95	25	1
2015-12-04	16:06:05	255.83	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.13	50.32	50.35	11.97	25	1
2015-12-04	16:08:03	256.36	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.1	50.32	50.35	11.95	25	1
2015-12-04	16:10:04	256.36	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.1	50.32	50.29	11.97	25	1
2015-12-04	16:12:09	255.83	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.13	50.27	50.29	11.95	25	1
2015-12-04	16:14:09	256.36	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.13	50.27	50.29	11.95	25	1
2015-12-04	16:16:04	255.29	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.1	50.27	50.29	11.95	25	1
2015-12-04	16:18:04	255.83	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.1	50.27	50.29	11.95	25	1
2015-12-04	16:20:09	255.83	50.42	-0.52	0.15	Hughes HX-50	6.6	13.56	19.58	24.13	50.27	50.24	11.95	25	1
